"n","m","Power","Speed","Spotsize","Peclet","HannDensity","HannDensity100%","HannThreshold","Keyhole?","FabbroRatio","DThreshold","DThreshold100"
84,1,300,1.,80,0.9818181818181817,26.06150745584955,65.15376863962388,41.25841885118509,"True",0.6316652014671419,-15.19691139533554,23.895349788438786
87,1,310,1.,80,0.9818181818181817,26.930224371044535,67.32556092761133,41.25841885118509,"True",0.6527207081827133,-14.328194480140557,26.067142076426244
90,1,320,1.,80,0.9818181818181817,27.798941286239522,69.4973532155988,41.25841885118509,"True",0.6737762148982847,-13.45947756494557,28.238934364413716
93,1,330,1.,80,0.9818181818181817,28.66765820143451,71.66914550358628,41.25841885118509,"True",0.6948317216138561,-12.590760649750582,30.410726652401188
96,1,340,1.,80,0.9818181818181817,29.536375116629493,73.84093779157374,41.25841885118509,"True",0.7158872283294275,-11.722043734555598,32.582518940388645
99,1,350,1.,80,0.9818181818181817,30.405092031824474,76.01273007956118,41.25841885118509,"True",0.7369427350449989,-10.853326819360618,34.75431122837609
107,1,380,1.,80,0.9818181818181817,33.01124277740943,82.52810694352357,41.25841885118509,"True",0.800109255191713,-8.247176073775663,41.26968809233848
110,1,390,1.,80,0.9818181818181817,33.879959692604416,84.69989923151104,41.25841885118509,"True",0.8211647619072845,-7.378459158580675,43.44148038032595
113,1,400,1.,80,0.9818181818181817,34.7486766077994,86.87169151949851,41.25841885118509,"True",0.8422202686228558,-6.509742243385688,45.61327266831342
116,1,410,1.,80,0.9818181818181817,35.61739352299439,89.04348380748598,41.25841885118509,"True",0.8632757753384273,-5.6410253281907,47.78506495630089
119,1,420,1.,80,0.9818181818181817,36.48611043818937,91.21527609547343,41.25841885118509,"True",0.8843312820539987,-4.77230841299572,49.95685724428834
122,1,430,1.,80,0.9818181818181817,37.35482735338435,93.38706838346087,41.25841885118509,"True",0.90538678876957,-3.9035914978007398,52.12864953227578
125,1,440,1.,80,0.9818181818181817,38.223544268579346,95.55886067144837,41.25841885118509,"True",0.9264422954851415,-3.0348745826057453,54.30044182026328
128,1,450,1.,80,0.9818181818181817,39.09226118377433,97.73065295943583,41.25841885118509,"True",0.9474978022007129,-2.166157667410758,56.47223410825074
