"n","m","Power","Speed","Spotsize","Peclet","HannDensity","HannDensity100%","HannThreshold","Keyhole?","FabbroRatio","DThreshold","DThreshold100"
35,1,370,1.,160,1.9636363636363634,11.364099000817909,28.410247502044772,47.11264645410643,"False",0.24121122153237462,-35.74854745328852,-18.70239895206166
39,1,370,1.,150,1.8409090909090908,12.519243711948832,31.29810927987208,46.4213030663364,"False",0.26968746857576864,-33.90205935438757,-15.12319378646432
44,1,370,1.,140,1.718181818181818,13.884266112796961,34.710665281992405,45.71787205425628,"False",0.3036944960237788,-31.83360594145932,-11.007206772263878
49,1,370,1.,130,1.5954545454545455,15.516721097050153,38.791802742625386,45.00218696510545,"False",0.3447992674018658,-29.4854658680553,-6.210384222480066
56,1,370,1.,120,1.4727272727272727,17.49617497925274,43.74043744813185,44.274279082622265,"False",0.3951769592137757,-26.778104103369525,-0.5338416344904147
64,1,370,1.,110,1.3499999999999999,19.935445932517396,49.83861483129349,43.53450889083566,"False",0.4579228396145743,-23.599062958318264,6.304105940457831
74,1,370,1.,100,1.2272727272727273,22.999319294866094,57.49829823716524,42.7837854393032,"False",0.537570929236613,-19.784466144437108,14.714512797862035
87,1,370,1.,90,1.1045454545454545,26.937123557494303,67.34280889373576,42.02394366053248,"True",0.6409946618787417,-15.086820103038178,25.318865233203283
