"n","m","Power","Speed","Spotsize","Peclet","HannDensity","HannDensity100%","HannThreshold","Keyhole?","FabbroRatio","DThreshold","DThreshold100"
24,2,250,1.4000000000000001,140,2.4054545454545457,7.928612553387372,19.82153138346843,49.50635097692085,"False",0.16015344288015854,-41.577738423533475,-29.68481959345242
25,1,250,2.,120,2.9454545454545453,8.359232413956764,20.89808103489191,52.25024628859281,"False",0.159984555245661,-43.891013874636045,-31.352165253700903
25,2,150,1.3000000000000003,100,1.5954545454545457,8.17773138898589,20.444328472464726,45.00218696510556,"False",0.1817185328199018,-36.82445557611967,-24.557858492640833
26,1,250,0.8,160,1.5709090909090908,8.584762793535905,21.46190698383976,44.85757748039067,"False",0.19137820800262134,-36.27281468685476,-23.395670496550906
26,2,150,0.7000000000000001,120,1.030909090909091,8.477809009104107,21.194522522760266,41.564992749519945,"False",0.2039651266197327,-33.08718374041584,-20.37047022675968
27,1,400,1.9000000000000001,160,3.7309090909090905,8.912847490802491,22.282118727006228,55.944998777859375,"False",0.1593144639468616,-47.032151287056884,-33.66288005085315
27,2,300,1.1,160,2.1599999999999997,8.785332371159262,21.963330927898156,48.194387320885205,"False",0.18228953327418085,-39.40905494972594,-26.23105639298705
28,1,300,1.,160,1.9636363636363634,9.214134324987493,23.03533581246873,47.11264645410643,"False",0.19557666610733077,-37.89851212911894,-24.077310641637702
28,2,250,0.7000000000000001,160,1.3745454545454547,9.17749746289592,22.9437436572398,43.68337859418765,"False",0.21009129234607885,-34.50588113129173,-20.73963493694785
29,1,200,1.,120,1.4727272727272727,9.457391880677157,23.643479701692893,44.274279082622265,"False",0.2136091671425815,-34.81688720194511,-20.63079938092937
29,2,250,1.,140,1.718181818181818,9.381260887024975,23.45315221756244,45.71787205425628,"False",0.20519898379985055,-36.33661116723131,-22.264719836693843
30,1,200,0.6,140,1.0309090909090908,9.688924581833264,24.22231145458316,41.5649927495199,"False",0.23310300185112337,-31.87606816768664,-17.342681294936742
30,2,400,1.6,160,3.1418181818181816,9.712550377899532,24.28137594474883,53.20432167120262,"False",0.1825519069282026,-43.49177129330309,-28.92294572645379
31,1,400,1.5000000000000002,160,2.9454545454545458,10.031078896748117,25.07769724187029,52.250246288593175,"False",0.19198146629479176,-42.21916739184506,-27.172549046722885
31,2,300,2.,120,2.9454545454545453,10.031078896748118,25.077697241870297,52.25024628859281,"False",0.19198146629479315,-42.21916739184469,-27.172549046722516
32,1,150,0.30000000000000004,140,0.5154545454545455,10.276656411329006,25.691641028322515,38.504126209278354,"False",0.2668975360062225,-28.227469797949347,-12.81248518095584
32,2,350,1.6,140,2.749090909090909,10.383153104537664,25.95788276134416,51.27372964220172,"False",0.20250434631912623,-40.89057653766406,-25.315846880857563
33,1,400,2.,140,3.436363636363636,10.613685102872777,26.534212757181944,54.59630940630103,"False",0.19440297738601062,-43.98262430342825,-28.062096649119088
33,2,150,1.5000000000000002,80,1.4727272727272729,10.639565865761798,26.598914664404493,44.27427908262215,"False",0.24031031303540468,-33.634713216860355,-17.675364418217658
